YearMonth,100,101,102,110,111,130,200,201,280,300,400,490,500,501,511,513,520,521,530,531,532,541,542,550,552,572,580,581,590,598,599,TotalAssets,TotalLiabilities,TotalEquity,TotalIncome,TotalExpenses,NetIncome
2024-03,-53391,-15470,63486,0,60331,-15599,0,10492,0,-87537,-128726,-1320,11805,1770,3454,5460,0,7972,55432,18284,3190,0,10131,22547,0,16200,0,0,14000,0,1820,87503,6034,-93537,-72794,54223,18571
2024-04,-56216,-56863,82486,0,62331,27901,0,1297,0,-93537,-71194,-79,4775,0,0,6705,0,5170,21650,9260,0,4890,3100,0,0,0,2750,0,0,300,86,147547,-55740,-91807,-71273,37261,34012
2024-05,22344,11198,159039,0,65778,14061,-2250,-91944,0,-91807,-253589,-10037,6980,280,0,5271,0,0,15790,21380,0,2530,6105,0,2938,0,2750,2200,0,300,0,-85178,-268853,354031,-72595,17724,54871
2024-06,21189,-34882,245279,0,81538,10961,-2250,-88011,0,354031,-109365,-49,7342,1359,0,4065,0,9280,19400,4030,0,1540,2750,0,0,0,3750,0,0,300,0,260222,-2908,-257314,-66739,14321,52418
2024-07,30263,-46043,194532,17655,124630,9461,-2250,-130167,0,-257314,-78869,-36,17616,791,0,4454,0,260,44815,10055,0,2641,26110,0,0,0,5041,0,0,300,1065,341740,-90261,-251479,-78872,12652,66220
2024-08,-88168,-5114,203432,17655,125730,15518,-2250,-137507,0,-251479,-24016,-12345,20822,445,0,1431,560,5130,13995,11664,0,0,13833,3946,23320,0,3700,0,0,2300,0,330498,-3413,-327085,36700,56366,-93066
2024-09,-75247,-37269,127432,17655,125730,27398,-2250,-110825,0,-327085,-56656,-500,9684,238,0,5703,3000,0,31939,9927,1540,0,0,13307,44290,0,0,0,0,300,0,269053,-139757,-129296,-57156,8865,48291
