YearMonth,100,101,102,109,111,130,200,220,280,290,300,400,490,500,501,511,513,521,530,531,532,541,542,550,552,561,572,580,581,590,598,599,600,TotalAssets,TotalLiabilities,TotalIncome,TotalExpenses,NetIncome,TotalEquity
2024-03,-32617,27903,10000,0,-1770,-16500,-39389,0,47006,0,-41431,-128726,-1320,7690,1770,3454,5460,7972,55932,20154,3190,0,10131,12747,0,0,16200,0,0,14000,0,1820,41431,-12984,7617,-130046,160520,-290566,-20601
2024-04,-2825,-41393,19000,-44881,22000,41730,-9195,0,0,0,-11087,-71194,-79,4775,0,0,6705,5170,5780,9260,0,4890,3100,0,0,0,0,2750,0,0,300,86,11087,-19353,-1578,-201319,203336,-404655,-17775
2024-05,20693,70811,76553,0,3447,-13840,-93241,-267900,0,0,0,-253589,-10037,6980,280,0,5271,0,14440,21380,0,2530,6105,0,2938,267900,0,0,2200,0,300,0,0,138311,-362719,-464945,533660,-998605,501030
2024-06,-1900,-6899,0,0,0,0,-2555,0,0,0,0,0,0,3508,0,0,3196,0,900,0,0,0,2750,0,0,0,0,1000,0,0,0,0,0,129512,-365274,-464945,545014,-1009959,494786
